num_consultas,tempo_execucao_s
3844,2.247957229614258
3381,2.3853933811187744
1455,0.8356935977935791
739,0.6250431537628174
3265,2.177058458328247
3250,2.0147171020507812
1834,1.4224004745483398
2482,1.8410801887512207
4954,3.648733615875244
426,0.3482515811920166
4763,2.828697443008423
2669,1.726135492324829
2703,1.6219494342803955
782,0.5573792457580566
4366,3.163748264312744
4339,3.0198678970336914
4419,3.1060128211975098
3268,2.4780595302581787
3901,2.623753786087036
326,0.26413893699645996
2388,1.7910115718841553
4285,3.018744945526123
2228,1.7880959510803223
1635,1.059906244277954
3923,2.6249802112579346
3533,2.317190170288086
3702,2.849958896636963
2086,1.295081615447998
1119,0.8769032955169678
1015,0.7670774459838867
3476,2.642880439758301
639,0.5469701290130615
4217,2.4431052207946777
504,0.43973231315612793
2755,1.6651942729949951
690,0.5708644390106201
1202,0.8341457843780518
272,0.2303321361541748
676,0.6219189167022705
2442,1.6195800304412842
2302,1.3834013938903809
4662,3.1798338890075684
2630,1.7328722476959229
307,0.3501112461090088
1074,0.8670456409454346
1405,0.8368618488311768
965,0.635122537612915
826,0.6951708793640137
2676,1.62978196144104
3588,2.186246395111084
3997,2.7698707580566406
1408,1.1119978427886963
2722,1.6609909534454346
4309,2.8100624084472656
1414,1.1269969940185547
1736,1.2354018688201904
4905,3.096043586730957
446,0.3410029411315918
1616,1.092294692993164
4539,3.1077535152435303
789,0.5290398597717285
3397,2.5049283504486084
4865,3.234905481338501
2415,1.9250991344451904
4267,2.5970165729522705
2700,1.607882022857666
4194,2.6481308937072754
2719,2.2051146030426025
3094,2.030752658843994
2442,1.5910508632659912
1890,1.211364984512329
1041,0.7077364921569824
2684,1.7559928894042969
2403,2.0062477588653564
1074,0.6847274303436279
4804,3.0592217445373535
4667,3.395944118499756
3810,2.5369584560394287
4999,3.6077632904052734
3210,2.28108286857605
966,0.6687979698181152
1230,0.9470329284667969
688,0.4141049385070801
1945,1.1612043380737305
3519,2.71393084526062
862,0.5417876243591309
1116,0.7070627212524414
2503,1.4511065483093262
4653,3.238351345062256
854,0.5215921401977539
2774,1.936988115310669
4199,3.0039353370666504
780,0.9025263786315918
2918,1.7525126934051514
4052,2.525111198425293
3552,2.2031073570251465
1794,1.340066909790039
2147,1.5708587169647217
2199,1.5349133014678955
1170,0.8071002960205078
2622,1.7758128643035889
2203,1.7080624103546143
2938,2.1980650424957275
1837,1.3142306804656982
4731,3.510772943496704
476,0.40404438972473145
1133,0.745863676071167
2426,1.3469419479370117
2944,2.383127450942993
1750,1.3379950523376465
3988,2.5410349369049072
1199,0.8658416271209717
1746,1.4961879253387451
4400,2.6340529918670654
2142,1.3640453815460205
3757,2.8090248107910156
599,0.45395731925964355
1539,1.05387544631958
2136,1.3892326354980469
2615,2.193786859512329
1768,1.2790350914001465
2426,1.5641779899597168
2499,1.6450178623199463
1949,1.390801191329956
3750,2.9191346168518066
1590,1.0889787673950195
606,0.5068802833557129
860,0.5979938507080078
3934,2.572072744369507
3697,2.409801721572876
4626,3.026167631149292
4159,2.7738282680511475
1370,0.8672845363616943
2587,1.5999512672424316
1778,1.1807074546813965
4310,2.8818914890289307
2213,1.4484946727752686
3618,2.2818498611450195
3098,1.9847197532653809
1143,0.7133798599243164
4709,2.7887370586395264
3710,2.269989252090454
1757,1.3551149368286133
1793,1.1983468532562256
1087,0.717771053314209
1125,0.9289958477020264
4477,2.716872215270996
2196,1.7002081871032715
1003,0.7016980648040771
2317,1.4750442504882812
500,0.3772282600402832
3152,2.1700220108032227
4118,3.059941291809082
4702,3.2237937450408936
4531,2.85984468460083
3145,3.1679601669311523
623,0.7740159034729004
644,0.6972594261169434
3730,4.229772567749023
2146,1.6812427043914795
1838,1.308997392654419
4990,2.962106466293335
3172,2.082883358001709
4764,2.6561038494110107
2679,1.599813461303711
1802,1.3881421089172363
3159,1.7289965152740479
3454,2.0767667293548584
4999,3.144298791885376
3067,1.9778380393981934
1065,0.7440202236175537
356,0.26999855041503906
1897,1.3340787887573242
2688,1.8167717456817627
840,0.5499711036682129
857,0.667227029800415
2734,1.590998888015747
3628,2.310096025466919
2738,1.9108295440673828
2962,1.8261098861694336
3898,2.4830753803253174
3716,2.4987032413482666
4794,3.4031593799591064
1118,0.6731362342834473
2485,1.6259245872497559
1718,1.420396327972412
2743,1.9524304866790771
3098,1.9359455108642578
650,0.4942004680633545
3337,2.227116346359253
1745,1.1137797832489014
1956,1.3142104148864746
507,0.3679990768432617
2472,1.6101255416870117
2279,1.700788974761963
837,0.5709495544433594
1428,0.9581124782562256
2712,1.6768205165863037
4097,2.946104049682617
1611,1.0879993438720703
