eventos_por_pacote,tempo_execucao_s
332,0.12251162528991699
40,0.13351988792419434
457,0.15399861335754395
365,0.17704200744628906
162,0.11999702453613281
374,0.12651801109313965
335,0.14399957656860352
215,0.1525118350982666
405,0.13358712196350098
436,0.13118743896484375
459,0.1399974822998047
205,0.4138493537902832
269,0.14054512977600098
443,0.1114799976348877
354,0.24482202529907227
495,0.2561986446380615
329,0.11912655830383301
14,0.1049962043762207
409,0.13299822807312012
497,0.11802053451538086
60,0.12905526161193848
412,0.16204023361206055
329,0.1410377025604248
341,0.13000035285949707
221,0.1310429573059082
68,0.1430037021636963
283,0.12205862998962402
294,0.13787412643432617
46,0.11902189254760742
287,0.11701202392578125
361,0.11812496185302734
191,0.12798714637756348
293,0.21195197105407715
61,0.12704038619995117
453,0.12348270416259766
81,0.13197016716003418
33,0.1659994125366211
259,0.15607762336730957
122,0.11399221420288086
69,0.14000225067138672
448,0.1140284538269043
465,0.11397910118103027
109,0.13031744956970215
475,0.11716127395629883
53,0.12003278732299805
110,0.12548351287841797
393,0.1888573169708252
268,0.11702346801757812
93,0.13254737854003906
320,0.11123371124267578
321,0.11197185516357422
235,0.13095760345458984
66,0.11699891090393066
271,0.10930013656616211
175,0.11704230308532715
259,0.12552094459533691
74,0.12655949592590332
495,0.1119697093963623
340,0.11590695381164551
103,0.11001706123352051
363,0.11496806144714355
483,0.1240386962890625
120,0.11697125434875488
228,0.12631440162658691
246,0.14013957977294922
210,0.11690020561218262
123,0.14342999458312988
126,0.1110239028930664
479,0.11701178550720215
407,0.11400127410888672
245,0.12201666831970215
375,0.11588168144226074
69,0.11299896240234375
410,0.11905789375305176
186,0.13402271270751953
178,0.12604069709777832
458,0.1240391731262207
447,0.14807391166687012
53,0.1250002384185791
369,0.12813949584960938
486,0.10798120498657227
225,0.11714768409729004
330,0.1182405948638916
429,0.13654494285583496
175,0.12241816520690918
438,0.12803411483764648
308,0.10699796676635742
298,0.1322462558746338
233,0.10699033737182617
371,0.12376594543457031
109,0.12399888038635254
155,0.11300420761108398
331,0.1185297966003418
83,0.1465015411376953
161,0.11990761756896973
438,0.11604094505310059
494,0.13707375526428223
464,0.1080160140991211
265,0.13777756690979004
23,0.12878155708312988
286,0.11001086235046387
445,0.1289994716644287
400,0.12225532531738281
253,0.1540224552154541
391,0.13199567794799805
398,0.12807607650756836
418,0.12189817428588867
353,0.1265089511871338
386,0.16755008697509766
108,0.18955540657043457
302,0.1549992561340332
166,0.1249997615814209
340,0.12499737739562988
192,0.13200044631958008
393,0.12794899940490723
274,0.14027929306030273
303,0.16603302955627441
104,0.12810230255126953
63,0.12778520584106445
390,0.14421534538269043
318,0.11554265022277832
131,0.12751126289367676
96,0.12286663055419922
74,0.12207794189453125
479,0.11300063133239746
170,0.14200043678283691
103,0.13699960708618164
371,0.12400150299072266
152,0.11551046371459961
263,0.1130056381225586
390,0.12609243392944336
19,0.15052247047424316
171,0.1218709945678711
494,0.11699843406677246
393,0.13902735710144043
329,0.11803221702575684
298,0.139570951461792
167,0.11403656005859375
257,0.1070103645324707
169,0.12001466751098633
113,0.11503863334655762
151,0.11834716796875
483,0.1338512897491455
40,0.14713239669799805
366,0.12400126457214355
484,0.12648534774780273
464,0.13407540321350098
134,0.1970350742340088
236,0.18000078201293945
296,0.13099908828735352
83,0.12499785423278809
75,0.1373729705810547
295,0.12799835205078125
169,0.15300464630126953
335,0.1289513111114502
170,0.12554287910461426
242,0.1359701156616211
350,0.11199951171875
361,0.11758708953857422
332,0.14143800735473633
165,0.10958266258239746
238,0.12104225158691406
309,0.11795210838317871
170,0.10903191566467285
376,0.1180572509765625
152,0.12691593170166016
289,0.1107940673828125
294,0.12101435661315918
218,0.11797523498535156
405,0.12799906730651855
437,0.1252431869506836
30,0.10682845115661621
424,0.1266326904296875
401,0.13251256942749023
321,0.1463460922241211
445,0.15619373321533203
179,0.14299702644348145
152,0.12580633163452148
165,0.13051700592041016
129,0.13019061088562012
349,0.12795209884643555
382,0.12599778175354004
421,0.17551445960998535
418,0.15151023864746094
183,0.13102340698242188
206,0.1359555721282959
314,0.12006998062133789
129,0.14154410362243652
103,0.12302613258361816
86,0.13854742050170898
276,0.1128075122833252
121,0.1320033073425293
188,0.14399313926696777
142,0.10354232788085938
52,0.12203407287597656
102,0.10600829124450684
241,0.12200188636779785
137,0.16301679611206055
264,0.12000226974487305
74,0.12232804298400879
